Row ID,Order ID,Order Date,Ship  Date,Ship Mode ,Customer ID,Customer Name,segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category ,Product Name,Sales,Quantity,Discount,Profit
4454,CA-2016-147137,04-07-16,07-06-16,First Class,AA-10645,Anna Andreadi,Consumer,  United States  ,San Francisco,California,94109,West,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","$1,279.16 ",5,0.15,225.735
7805,CA-2015-102260,09/22/2015,09-26-15,Standard Class,SJ-20125,Sanjit Jacobs,Home Office,United States,Franklin,Tennessee,37064,SOUTH,OFF-ST-10002289,OFFICE SUPPLIES,STORAGE,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",25.424,1,0.2,-4.767
5748,CA-2016-113733,08-Dec-16,12-12-16,Standard Class,LH-16900,Lena Hernandez,consumer,United States,Greenville,North Carolina,27834,South,TEC-AC-10002473,TECHNOLOGY,accessories,Maxell 4.7GB DVD-R,68.112,3,0.2,17.8794
5862,CA-2016-101525,05-01-16,04-May-16,second class,CM-12235,Chris McAfee,CONSUMER,USA,Little Rock,Arkansas,72209,SOUTH,OFF-PA-10001497,Office Supplies,Paper,Xerox 1914,109.92,2,0,53.8608
2786,CA-2015-149972,21-09-15,23-Sep-15,First Class,CD-12790,Cynthia Delaney,home office,United States,Los Angeles,California,90036,West,FUR-CH-10004997,Furniture,chairs,Hon Every-Day Series Multi-Task Chairs,601.536,4,0.2,0
9365,CA-2017-111591,03-21-17,03-25-17,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Seattle,Washington,,West,OFF-ST-10001809,Office Supplies,  Storage  ,Fellowes Officeware Wire Shelving,359.32,4,0,7.1864
1696,CA-2015-156335,09/25/2015,09-28-15,second class,PO-19195,Phillina Ober,Home Office,United States,Bayonne,New Jersey,7002,East,OFF-BI-10003314,Office Supplies,binders,Tuff Stuff Recycled Round Ring Binders,14.46,3,0,7.0854
6969,CA-2015-110765,10/16/2015,20-10-15,  Second Class  ,MP-17965,Michael Paige,CORPORATE,UNITED STATES,New York City,New York,10011,  East  ,TEC-PH-10004165,Technology,  Phones  ,Mitel MiVoice 5330e IP Phone,824.97,3,0,214.4922
1201,CA-2016-114727,18-Jul-16,24-07-16,  Standard Class  ,LS-16945,Linda Southworth,Corporate,United States,,Colorado,80219,Wast,FUR-CH-10002335,Furniture,chairs,Hon GuestStacker Chair,544.008,3,0.2,40.8006
7702,CA-2017-151799,14-12-17,18-12-17,Standard Class,BF-11170,Ben Ferrer,Home Office,united states,Lawrence,Massachusetts,1841,East,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,526.582,2,0.3,-52.6582
